OOCN_0000773101	14.3
OOCN_0000574301	13.6
OOCN_0000795901	13.5
OOCN_0000753601	13.4
OOCN_0000145601	13.4
OOCN_0001179301	13.2
OOCN_0001078101	13.0
OOCN_0001059301	12.9
OOCN_0000544501	12.9
OOCN_0000404201	12.9
OOCN_0000594301	12.8
OOCN_0000486801	12.8
OOCN_0000508101	12.7
OOCN_0000492001	12.7
OOCN_0000946301	12.6
OOCN_0000683601	12.6
OOCN_0000657501	12.6
OOCN_0000789401	12.4
OOCN_0000688501	12.4
OOCN_0000432401	12.4
OOCN_0000829401	12.3
OOCN_0000515501	12.3
OOCN_0000991201	12.2
OOCN_0000945401	12.2
OOCN_0000844801	12.2
OOCN_0000829501	12.2
OOCN_0000754201	12.2
OOCN_0000019101	12.2
OOCN_0000485201	12.1
OOCN_0000447601	12.1
OOCN_0000065201	12.1
OOCN_0001054501	12.0
OOCN_0000694801	12.0
OOCN_0000646101	12.0
OOCN_0000533301	12.0
OOCN_0000413701	12.0
OOCN_0000396101	12.0
OOCN_0000061501	12.0
OOCN_0000845001	11.9
OOCN_0000065001	11.9
OOCN_0001045501	11.8
OOCN_0000914401	11.8
OOCN_0000790401	11.8
OOCN_0000748301	11.8
OOCN_0000673201	11.8
OOCN_0000665801	11.8
OOCN_0000600601	11.8
OOCN_0000444301	11.8
OOCN_0001252201	11.7
OOCN_0001017601	11.7
OOCN_0000997801	11.7
OOCN_0000956801	11.7
OOCN_0000900301	11.7
OOCN_0000744801	11.7
OOCN_0000621901	11.7
OOCN_0000610001	11.7
OOCN_0000574601	11.7
OOCN_0000548901	11.7
OOCN_0000492601	11.7
OOCN_0000485701	11.7
OOCN_0000430301	11.7
OOCN_0000390801	11.7
OOCN_0000295801	11.7
OOCN_0001039601	11.6
OOCN_0000948601	11.6
OOCN_0000935501	11.6
OOCN_0000876101	11.6
OOCN_0000867401	11.6
OOCN_0000782601	11.6
OOCN_0000702201	11.6
OOCN_0000672001	11.6
OOCN_0000662401	11.6
OOCN_0000653701	11.6
OOCN_0000580401	11.6
OOCN_0000529501	11.6
OOCN_0000485301	11.6
OOCN_0000217301	11.6
OOCN_0000057401	11.6
OOCN_0000005801	11.6
OOCN_0001132501	11.5
OOCN_0000769201	11.5
OOCN_0000712201	11.5
OOCN_0000694901	11.5
OOCN_0000438401	11.5
OOCN_0000406001	11.5
OOCN_0000378101	11.5
OOCN_0000207401	11.5
OOCN_0000105001	11.5
OOCN_0000029901	11.5
OOCN_0001039501	11.4
OOCN_0001009101	11.4
OOCN_0000864801	11.4
OOCN_0000861701	11.4
OOCN_0000797501	11.4
OOCN_0000758501	11.4
OOCN_0000750301	11.4
